user_id,name,phone,pincode,signup_date,age,device,signup_month
U033554,Amir Taylor,7361531017,E14,2024-10-06,23,ios,2024-10
U009428,Tom Jones,7762392949,W1,2024-08-22,32,andriod,2024-08
U000200,Tom Smith,7322520059,SW1,2024-06-20,59,andriod,2024-06
U012448,Sandeep Jones,7221689089,SE1,2024-11-08,19,ios,2024-11
U039490,Amir Ahmed,7881030695,EC2,2024-12-30,45,web,2024-12
U042725,Varsha Ahmed,7820835414,E14,2024-03-04,38,andriod,2024-03
U010823,Aisha Smith,7505821715,IG1,2024-10-28,54,ios,2024-10
U049499,Aisha Smith,7702756030,N1,2024-04-16,30,ios,2024-04
U004145,Hannah Smith,7171836769,W1,2024-07-06,58,andriod,2024-07
U036959,Hannah Ahmed,7554475214,N1,2024-05-17,24,ios,2024-05
U043107,Aisha Williams,7465873844,SE1,2024-09-03,44,ios,2024-09
U038696,Riya Singh,7018440767,KT1,2024-12-30,29,web,2024-12
U006189,Riya Brown,7855850474,SE1,2024-10-13,23,andriod,2024-10
U001415,Priya Jones,7648918218,SW1,2024-04-25,20,ios,2024-04
U018472,Tom Singh,7346566170,CR0,2024-04-08,52,ios,2024-04
U029283,James Patel,7989821428,SE1,2024-07-21,21,ios,2024-07
U015178,Aisha Smith,7192861537,SW1,2024-12-01,19,ios,2024-12
U034305,Priya Singh,7915272360,SE1,2024-03-06,55,andriod,2024-03
U012610,Aisha Patel,7155307290,SW3,2024-08-17,54,andriod,2024-08
U012145,Hannah Brown,7730604840,E14,2024-03-19,39,ios,2024-03
U006114,James Smith,7645902369,W1,2024-09-25,36,andriod,2024-09
U015909,Priya Ahmed,7715191391,CR0,2024-02-24,35,web,2024-02
U000822,Priya Brown,7449159038,CR0,2024-02-19,42,andriod,2024-02
U015119,Riya Patel,7606501801,N1,2024-04-05,40,ios,2024-04
U013467,Tom Smith,7047936583,W1,2024-10-17,50,ios,2024-10
U026498,Aisha Patel,7860017083,SW3,2024-03-21,32,ios,2024-03
U042112,Aisha Patel,7522528728,W1,2024-07-07,49,andriod,2024-07
U030189,Hannah Smith,7048844733,E14,2024-11-07,20,ios,2024-11
U037238,Sandeep Patel,7875859859,SE1,2024-12-07,42,ios,2024-12
U033110,Priya Khan,7370522206,SW1,2024-02-20,48,ios,2024-02
U036481,Sandeep Shah,7631395932,E14,2024-11-05,20,ios,2024-11
U024149,Amir Brown,7499699172,SE1,2024-09-17,34,ios,2024-09
U005504,Amir Patel,7363656913,SE1,2024-02-02,41,ios,2024-02
U003919,Tom Jones,7597688911,SE1,2024-06-11,28,ios,2024-06
U038479,Riya Shah,7081190471,KT1,2024-05-26,32,andriod,2024-05
U021124,Amir Williams,7198910501,N1,2024-04-06,46,andriod,2024-04
U049718,James Singh,7302466689,KT1,2024-07-30,56,web,2024-07
U042295,Sandeep Jones,7138469452,KT1,2024-05-01,25,ios,2024-05
U047610,James Taylor,7065033827,SW1,2024-06-11,51,andriod,2024-06
U011077,Leena Smith,7617242006,EC2,2024-02-24,55,ios,2024-02
U041515,Sandeep Patel,7508403779,KT1,2024-08-21,28,andriod,2024-08
U022063,Riya Ahmed,7074889956,E14,2024-08-29,31,andriod,2024-08
U009414,Riya Singh,7721368579,CR0,2024-12-27,44,ios,2024-12
U038341,Riya Brown,7620465603,EC2,2024-04-28,31,ios,2024-04
U030264,James Khan,7616367080,CR0,2024-10-24,37,ios,2024-10
U041253,Sandeep Taylor,7446137347,SW3,2024-10-05,42,web,2024-10
U014645,James Taylor,7686185191,SW3,2024-06-04,51,ios,2024-06
U026336,Aisha Jones,7201788701,CR0,2024-09-28,49,andriod,2024-09
U028103,Varsha Smith,7448716254,W1,2024-08-10,57,andriod,2024-08
U017524,Aisha Smith,7987397160,CR0,2024-07-21,56,ios,2024-07
U024713,Hannah Smith,7095438132,IG1,2024-09-20,59,ios,2024-09
U040486,Riya Williams,7367625650,EC2,2024-03-21,18,ios,2024-03
U003851,Varsha Brown,7294771514,E14,2024-04-01,29,ios,2024-04
U040041,Sandeep Patel,7262931815,CR0,2024-01-20,43,ios,2024-01
U015268,James Shah,7853992091,SW3,2024-01-21,26,ios,2024-01
U049147,Aisha Jones,7197016059,KT1,2024-08-12,20,ios,2024-08
U030002,Leena Patel,7482972578,SW1,2024-08-01,36,ios,2024-08
U045927,Varsha Williams,7921940084,E14,2024-06-23,39,andriod,2024-06
U043825,Amir Smith,7351951153,SW3,2024-01-23,37,ios,2024-01
U017241,James Singh,7196363131,SW3,2024-05-31,35,ios,2024-05
U004893,Aisha Khan,7156561467,E14,2024-06-20,32,ios,2024-06
U000726,Hannah Singh,7216180448,E14,2024-12-07,27,ios,2024-12
U022950,Sandeep Taylor,7270448316,N1,2024-10-23,26,ios,2024-10
U034658,Tom Patel,7476861176,IG1,2024-07-05,40,andriod,2024-07
U037214,Leena Ahmed,7579385695,EC2,2024-12-10,45,andriod,2024-12
U020305,Amir Smith,7073043350,KT1,2024-05-24,51,ios,2024-05
U015270,James Williams,7285860525,CR0,2024-12-27,42,andriod,2024-12
U022368,James Shah,7348867354,N1,2024-11-26,20,andriod,2024-11
U042685,Aisha Ahmed,7442960046,CR0,2024-06-22,27,ios,2024-06
U046735,Sandeep Smith,7880510277,KT1,2024-02-21,37,ios,2024-02
U011733,Leena Jones,7399976963,E14,2024-11-01,18,ios,2024-11
U018620,Amir Jones,7390573262,EC2,2024-12-11,53,ios,2024-12
U048493,Varsha Khan,7995410759,E14,2024-01-04,60,ios,2024-01
U026804,Sandeep Ahmed,7089037201,E14,2024-02-01,38,ios,2024-02
U044306,Varsha Patel,7513377369,CR0,2024-09-29,26,ios,2024-09
U047523,Tom Ahmed,7103572233,SE1,2024-02-25,27,ios,2024-02
U032208,Tom Smith,7338354869,W1,2024-09-24,34,web,2024-09
U002531,Sandeep Brown,7908313562,SW1,2024-08-28,26,ios,2024-08
U017747,Varsha Singh,7956851196,W1,2024-05-06,29,ios,2024-05
U008271,Tom Taylor,7430321339,IG1,2024-08-25,32,ios,2024-08
U015080,Aisha Smith,7448723468,SE1,2024-09-06,34,andriod,2024-09
U013625,Leena Singh,7795594303,CR0,2024-07-30,31,ios,2024-07
U030639,Tom Taylor,7290399842,W1,2024-06-11,52,ios,2024-06
U030441,Varsha Smith,7919512105,CR0,2024-07-13,21,ios,2024-07
U036057,Leena Khan,7159175912,W1,2024-03-09,20,ios,2024-03
U042652,Leena Khan,7882672991,N1,2024-06-20,35,ios,2024-06
U036804,James Shah,7600850942,KT1,2024-11-24,50,ios,2024-11
U048225,Sandeep Ahmed,7067987916,W1,2024-03-04,18,ios,2024-03
U029227,Leena Jones,7329615653,E14,2024-08-26,34,ios,2024-08
U005634,Amir Williams,7602169396,SW1,2024-07-23,23,andriod,2024-07
U005988,Hannah Jones,7867368642,W1,2024-04-30,52,ios,2024-04
U048064,Sandeep Ahmed,7629976896,EC2,2024-08-31,30,ios,2024-08
U001813,Tom Khan,7994587332,W1,2024-07-06,41,web,2024-07
U027579,Aisha Smith,7666879366,SW3,2024-03-11,47,andriod,2024-03
U016824,Varsha Patel,7151021587,KT1,2024-07-16,42,ios,2024-07
U003929,Hannah Shah,7289233837,SW3,2024-05-06,57,ios,2024-05
U037287,Aisha Khan,7740078796,SE1,2024-09-15,54,ios,2024-09
U025046,Amir Khan,7333666466,SW1,2024-11-06,40,ios,2024-11
U015728,Amir Patel,7992488658,N1,2024-09-27,44,andriod,2024-09
U029601,Varsha Khan,7306319720,SE1,2024-05-28,36,andriod,2024-05
U010431,Leena Taylor,7741080973,W1,2024-04-29,40,ios,2024-04
U025769,Leena Ahmed,7836722164,CR0,2024-03-19,44,web,2024-03
U029104,Leena Shah,7449122086,SW1,2024-01-29,23,ios,2024-01
U036538,Sandeep Taylor,7563892210,KT1,2024-04-25,19,andriod,2024-04
U039329,Sandeep Williams,7723086843,KT1,2024-10-27,18,ios,2024-10
U035540,Hannah Smith,7705009521,EC2,2024-11-29,52,web,2024-11
U028076,Riya Patel,7946185253,SE1,2024-12-07,45,ios,2024-12
U017841,James Patel,7277262737,CR0,2024-11-16,30,ios,2024-11
U027803,Riya Patel,7130497353,IG1,2024-05-29,49,ios,2024-05
U007683,Amir Shah,7510384756,W1,2024-07-10,25,ios,2024-07
U024280,Amir Ahmed,7271822619,EC2,2024-10-07,42,ios,2024-10
U033071,Priya Brown,7895096453,EC2,2024-08-03,29,andriod,2024-08
U035558,Riya Taylor,7117552987,SW3,2024-08-31,37,ios,2024-08
U037190,Tom Williams,7163484900,CR0,2024-10-26,36,ios,2024-10
U047150,Tom Ahmed,7829624943,E14,2024-03-24,35,ios,2024-03
U046916,Riya Williams,7806806518,E14,2024-02-24,58,ios,2024-02
U009802,Leena Ahmed,7993403526,E14,2024-05-05,40,ios,2024-05
U038801,Varsha Shah,7208896010,SW3,2024-01-10,45,ios,2024-01
U024670,Leena Taylor,7260881817,W1,2024-04-22,50,ios,2024-04
U044234,Varsha Williams,7783969370,SW3,2024-12-17,42,ios,2024-12
U031920,Hannah Williams,7680992268,SE1,2024-01-20,34,web,2024-01
U007135,James Smith,7979167475,N1,2024-11-06,54,andriod,2024-11
U033705,Varsha Patel,7246565955,SW3,2024-08-08,45,andriod,2024-08
U029661,Amir Taylor,7433815400,N1,2024-12-19,56,ios,2024-12
U017894,Leena Ahmed,7688973632,W1,2024-01-21,52,ios,2024-01
U022019,Varsha Khan,7065514039,SW3,2024-05-27,30,ios,2024-05
U013539,Amir Smith,7239892457,SW1,2024-04-29,40,web,2024-04
U043119,Tom Smith,7415330542,KT1,2024-12-24,50,ios,2024-12
U036421,Riya Shah,7026848881,CR0,2024-12-29,31,web,2024-12
U009406,Amir Williams,7294232521,CR0,2024-09-21,29,ios,2024-09
U013414,Tom Singh,7627831351,W1,2024-07-28,22,ios,2024-07
U006721,Leena Williams,7830527322,N1,2024-12-20,50,ios,2024-12
U015602,Aisha Jones,7759217632,E14,2024-07-17,36,ios,2024-07
U044744,Amir Smith,7860347334,IG1,2024-05-12,52,ios,2024-05
U031139,Aisha Khan,7331927800,N1,2024-07-10,25,ios,2024-07
U002730,Leena Taylor,7955372653,E14,2024-10-21,38,web,2024-10
U038243,Tom Shah,7389810817,SW3,2024-07-20,57,andriod,2024-07
U029626,Aisha Taylor,7597073251,E14,2024-05-19,51,ios,2024-05
U047895,James Khan,7351037827,W1,2024-03-13,37,ios,2024-03
U042091,James Williams,7608990488,W1,2024-04-18,23,web,2024-04
